00 = waiting for players
01 = countdown
02 = (2048), 中心決定まで 2m
03 = (2048), 収縮まで 2m
04 = (2048), 1536 まで収縮。収縮完了/中心決定まで 2m
05 = (1536), 収縮まで 3m
06 = (1536), 1024 まで収縮。収縮完了/中心決定まで 2m
07 = (1024), 収縮まで 2m
08 = (1024), 512 まで収縮。収縮完了/中心決定まで 1m
09 = (0512), 収縮まで 2m
10 = (0512), 256 まで収縮。収縮完了/中心決定まで 1m
11 = (0256), 収縮まで 2m
12 = (0256), 128 まで収縮。収縮完了/中心決定まで 1m
13 = (0128), 収縮まで 1m
14 = (0128), 64 まで収縮。収縮完了/中心決定まで 30s
15 = (0064), 収縮まで 30s
16 = (0064), 32 まで収縮。収縮完了/中心決定まで 20s
17 = (0032), 収縮まで 30s
18 = (0032), 01まで収縮。収縮完了まで 30s
19 = (0001), 操作なし
20 = game end
---------------------------------------------------------------------------------------------------
